Msg;Indice;Arquivo;Entregadores;Mutation;Cross;Fitness
Concluido;0;Extras;2;Swap;SubRouteInsertion;110095
Concluido;1;Extras;2;Swap;SubRouteInsertion;110095
Concluido;2;Extras;2;Swap;SubRouteInsertion;110095
Concluido;3;Extras;2;Swap;SubRouteInsertion;110095
Concluido;4;Extras;2;Swap;SubRouteInsertion;110095
Concluido;5;Extras;2;Swap;SubRouteInsertion;110095
Concluido;6;Extras;2;Swap;SubRouteInsertion;110095
Concluido;7;Extras;2;Swap;SubRouteInsertion;110095
Concluido;8;Extras;2;Swap;SubRouteInsertion;110095
Concluido;9;Extras;2;Swap;SubRouteInsertion;110095
Concluido;0;Extras;2;Inversion;SubRouteInsertion;110095
Concluido;1;Extras;2;Inversion;SubRouteInsertion;111371
Concluido;2;Extras;2;Inversion;SubRouteInsertion;110095
Concluido;3;Extras;2;Inversion;SubRouteInsertion;110095
Concluido;4;Extras;2;Inversion;SubRouteInsertion;110095
Concluido;5;Extras;2;Inversion;SubRouteInsertion;110095
Concluido;6;Extras;2;Inversion;SubRouteInsertion;110095
Concluido;7;Extras;2;Inversion;SubRouteInsertion;110095
Concluido;8;Extras;2;Inversion;SubRouteInsertion;110095
Concluido;9;Extras;2;Inversion;SubRouteInsertion;110095
Concluido;0;Extras;2;Insertion;SubRouteInsertion;110095
Concluido;1;Extras;2;Insertion;SubRouteInsertion;110095
Concluido;2;Extras;2;Insertion;SubRouteInsertion;110095
Concluido;3;Extras;2;Insertion;SubRouteInsertion;110095
Concluido;4;Extras;2;Insertion;SubRouteInsertion;110095
Concluido;5;Extras;2;Insertion;SubRouteInsertion;110095
Concluido;6;Extras;2;Insertion;SubRouteInsertion;110095
Concluido;7;Extras;2;Insertion;SubRouteInsertion;110095
Concluido;8;Extras;2;Insertion;SubRouteInsertion;110095
Concluido;9;Extras;2;Insertion;SubRouteInsertion;110095
Concluido;0;Extras;2;Displacement;SubRouteInsertion;110095
Concluido;1;Extras;2;Displacement;SubRouteInsertion;110095
Concluido;2;Extras;2;Displacement;SubRouteInsertion;110095
Concluido;3;Extras;2;Displacement;SubRouteInsertion;110095
Concluido;4;Extras;2;Displacement;SubRouteInsertion;110095
Concluido;5;Extras;2;Displacement;SubRouteInsertion;110095
